Jugador,ID TM,Fecha,Valor (€),Equipo,Edad
A. Massaccesi,1221014,04/12/2023,10000,Instituto ACC II,21
A. Massaccesi,1221014,26/06/2024,100000,CA Defensores de Belgrano,21
A. Massaccesi,1221014,29/11/2024,150000,CA Defensores de Belgrano,22
A. Massaccesi,1221014,22/05/2025,225000,CA Defensores de Belgrano,22
A. Massaccesi,1221014,26/11/2025,250000,CA Defensores de Belgrano,23
A. Mulet,843537,08/02/2021,250000,CA Vélez Sarsfield,20
A. Mulet,843537,11/06/2021,1100000,CA Vélez Sarsfield,21
A. Mulet,843537,20/10/2021,1000000,CA Vélez Sarsfield,21
A. Mulet,843537,24/05/2022,800000,CA Vélez Sarsfield,22
A. Mulet,843537,06/09/2022,600000,CA Vélez Sarsfield,22
A. Mulet,843537,26/10/2022,600000,CA Vélez Sarsfield,22
A. Mulet,843537,04/07/2023,600000,CA Independiente,23
A. Mulet,843537,19/12/2023,450000,CA Independiente,23
A. Mulet,843537,13/06/2024,400000,CD Cobreloa,24
A. Mulet,843537,13/12/2024,300000,CS Independiente Rivadavia,24
A. Mulet,843537,10/06/2025,300000,CA Cerro,25
A. Mulet,843537,28/11/2025,300000,CD Olimpia,25
A. Steimbach,1046802,06/09/2022,25000,Club de Gimnasia y Esgrima La Plata,20
A. Steimbach,1046802,26/10/2022,125000,Club de Gimnasia y Esgrima La Plata,20
A. Steimbach,1046802,04/07/2023,325000,Club de Gimnasia y Esgrima La Plata,20
A. Steimbach,1046802,19/12/2023,250000,Club de Gimnasia y Esgrima La Plata,21
A. Steimbach,1046802,26/06/2024,200000,CSD Tristan Suarez,21
A. Steimbach,1046802,29/11/2024,225000,CSD Tristan Suarez,22
A. Steimbach,1046802,22/05/2025,200000,CSD Tristan Suarez,22
A. Steimbach,1046802,26/11/2025,300000,CSD Tristan Suarez,23
A. Steimbach,1046802,18/03/2026,1000000,Club de Gimnasia y Esgrima La Plata,23
B. Centeno,1001697,02/06/2022,25000,,17
B. Centeno,1001697,10/07/2023,50000,Club Deportivo Maldonado,18
B. Centeno,1001697,28/12/2023,250000,Club Deportivo Maldonado,18
B. Centeno,1001697,10/06/2024,200000,Club Deportivo Maldonado,19
B. Centeno,1001697,19/12/2024,200000,Club Deportivo Maldonado,19
B. Centeno,1001697,30/06/2025,125000,Club Deportivo Maldonado,20
B. Centeno,1001697,12/12/2025,50000,Club Deportivo Maldonado,20
C. Bravo,441408,08/08/2016,50000,CA Banfield II,19
C. Bravo,441408,09/10/2017,100000,CA Banfield,20
C. Bravo,441408,08/05/2018,300000,CA Banfield,21
C. Bravo,441408,18/12/2018,600000,CA Banfield,21
C. Bravo,441408,06/08/2019,2500000,CA Banfield,22
C. Bravo,441408,05/12/2019,3000000,CA Banfield,22
C. Bravo,441408,08/04/2020,2400000,CA Banfield,23
C. Bravo,441408,16/04/2021,2000000,Portland Timbers,24
C. Bravo,441408,09/07/2021,2000000,Portland Timbers,24
C. Bravo,441408,09/11/2021,2000000,Portland Timbers,24
C. Bravo,441408,18/08/2022,2000000,Portland Timbers,25
C. Bravo,441408,08/11/2022,2000000,Portland Timbers,25
C. Bravo,441408,22/08/2023,2000000,Portland Timbers,26
C. Bravo,441408,18/12/2023,2000000,Portland Timbers,26
C. Bravo,441408,13/06/2024,1800000,Portland Timbers,27
C. Bravo,441408,12/12/2024,1800000,Portland Timbers,27
C. Bravo,441408,05/06/2025,1500000,Portland Timbers,28
C. Bravo,441408,24/09/2025,1200000,AA Argentinos Juniors,28
C. Bravo,441408,17/12/2025,800000,AA Argentinos Juniors,28
D. Mastrángelo,1110143,04/07/2023,200000,Club de Gimnasia y Esgrima La Plata II,20
D. Mastrángelo,1110143,19/12/2023,100000,Club de Gimnasia y Esgrima La Plata II,21
D. Mastrángelo,1110143,26/06/2024,125000,Club Atlético San Martín (Tucumán),21
D. Mastrángelo,1110143,29/11/2024,150000,Club Atlético San Martín (Tucumán),22
D. Mastrángelo,1110143,02/06/2025,100000,Club de Gimnasia y Esgrima La Plata,22
D. Mastrángelo,1110143,17/12/2025,75000,Club de Gimnasia y Esgrima La Plata,23
F. Lo Celso,642757,06/08/2019,250000,CA Rosario Central,19
F. Lo Celso,642757,05/12/2019,200000,CA Rosario Central,19
F. Lo Celso,642757,08/02/2021,350000,CA Rosario Central,20
F. Lo Celso,642757,20/10/2021,325000,CA Rosario Central,21
